frame,metric,arm,baseline,n,arm_value,baseline_value,median_diff,mean_diff,p_raw,p_holm
WLI,bf3,ours,early_fusion_wli,77,0.25487371495715266,0.15709858149392625,0.08704165934462996,0.09777513346322647,2.7221262171778517e-10,1.905488352024496e-09
WLI,bf5,ours,early_fusion_wli,77,0.33465367101589544,0.2243007436003281,0.10914556842403761,0.1103529274155672,1.2384158604466518e-09,7.43049516267991e-09
WLI,nsd3,ours,early_fusion_wli,77,0.25399166620234803,0.15645226524009015,0.08682800770565532,0.09753940096225792,2.3093499616940846e-10,1.8474799693552677e-09
WLI,hd95,ours,early_fusion_wli,77,64.6184238409507,78.28078542353241,-12.437291510773953,-13.66236158258169,1.3065488745490645e-05,3.919646623647194e-05
WLI,residual_area_frac,ours,early_fusion_wli,77,0.20469414610602982,0.2568270857089587,-0.03533302553397767,-0.05213293960292877,0.0010102381173472353,0.0020204762346944707
WLI,over_area_ratio,ours,early_fusion_wli,77,0.6925424844507098,0.9260443776096041,-0.15306334371754937,-0.23350189315889433,6.140750167828646e-06,2.4563000671314585e-05
WLI,residual_px,ours,early_fusion_wli,77,38.63414470332864,44.11412921917315,-4.834461740831053,-5.479984515844517,0.00347699709532465,0.00347699709532465
WLI,dice,oracle_noskip,wli_only,15,0.7639929797914292,0.7381852156586117,0.032295743624369155,0.02580776413281755,0.072998046875,
WLI,dice,oracle_skip,wli_only,15,0.81743985199266,0.7381852156586117,0.05951707561810826,0.07925463633404836,0.00262451171875,
WLI,dice,oracle_skip_shuffled,wli_only,15,0.7745597408877479,0.7381852156586117,0.023193756739298577,0.03637452522913613,0.0946044921875,
WLI,dice,pred_noskip,wli_only,15,0.7546453254090764,0.7381852156586117,0.021358231703440422,0.01646010975046459,0.207763671875,
WLI,dice,pred_skip,wli_only,15,0.741802968085188,0.7381852156586117,0.007783542076746697,0.0036177524265763447,0.5994873046875,
WLI,dice,pred_skip_shuffled,wli_only,15,0.7336377532960169,0.7381852156586117,-0.0363697781942402,-0.004547462362594834,0.42120361328125,
NBI,dice,early_fusion_nbi,nbi_only,77,0.7574723564994384,0.7870781730654006,-0.018466005722681755,-0.029605816565962183,0.0006629947277623037,0.00530395782209843
NBI,dice,ours,nbi_only,77,0.7965752474353059,0.7870781730654006,0.010226279497146606,0.009497074369905037,0.10805035389831785,0.5402517694915893
NBI,dice,mid_fusion,nbi_only,77,0.8036735057672286,0.7870781730654006,0.007478247086207146,0.016595332701827926,0.00654828610105246,0.04583800270736722
NBI,dice,mid_fusion_wide,nbi_only,77,0.8040727367747581,0.7870781730654006,0.006713256239891163,0.016994563709357317,0.02277166249675665,0.13662997498053991
NBI,dice,mmd_fusion_w1e-4,nbi_only,77,0.7979102153116975,0.7870781730654006,0.00562831262747443,0.010832042246296709,0.17278801846530933,0.5402517694915893
NBI,dice,mmd_fusion_w1.0,nbi_only,77,0.7717886353024193,0.7870781730654006,-0.004989951848983876,-0.01528953776298152,0.11257869583711624,0.5402517694915893
NBI,dice,mmd_fusion,nbi_only,77,0.7823821938079298,0.7870781730654006,0.0033326148986817516,-0.004695979257470958,0.6313549424797729,1.0
NBI,dice,mmd_fusion_w0.01,nbi_only,77,0.7882255813274001,0.7870781730654006,-0.0031069616476694373,0.0011474082619991328,0.7587012284736101,1.0
NBI,bf1,early_fusion_nbi,nbi_only,77,0.13628176284027624,0.16768260996833728,-0.0294389221712944,-0.03140084712806106,2.2004361979556085e-07,1.7603489583644868e-06
NBI,bf1,ours,nbi_only,77,0.19516167009134786,0.16768260996833728,0.01956530820370944,0.027479060123010508,3.0308074120126142e-05,0.00021215651884088298
NBI,bf1,mid_fusion,nbi_only,77,0.19043854041689823,0.16768260996833728,0.01293774306926268,0.022755930448560897,0.0002802236373597852,0.0016813418241587112
NBI,bf1,mid_fusion_wide,nbi_only,77,0.1886358838103492,0.16768260996833728,0.010130664781842769,0.020953273842011896,0.0011251907942317896,0.005625953971158948
NBI,bf1,mmd_fusion_w1e-4,nbi_only,77,0.1876858343579103,0.16768260996833728,0.007266170526851801,0.020003224389573002,0.00347699709532465,0.0139079883812986
NBI,bf1,mmd_fusion,nbi_only,77,0.1806225405345418,0.16768260996833728,0.0056815064111293695,0.012939930566204455,0.047395265871227055,0.14218579761368116
NBI,bf1,mmd_fusion_w0.01,nbi_only,77,0.18175677678404206,0.16768260996833728,0.005027472848084982,0.014074166815704755,0.06568286970873025,0.14218579761368116
NBI,bf1,mmd_fusion_w1.0,nbi_only,77,0.1693871494762556,0.16768260996833728,-0.0005446792051506388,0.001704539507918314,0.925162268978861,0.925162268978861
NBI,bf2,early_fusion_nbi,nbi_only,77,0.1893186927758467,0.2233481387444066,-0.029176200894393656,-0.03402944596855988,1.392100045886042e-06,9.744700321202295e-06
NBI,bf2,ours,nbi_only,77,0.2588994647171473,0.2233481387444066,0.026342180473951593,0.035551325972740744,7.305204108479787e-07,5.84416328678383e-06
NBI,bf2,mid_fusion,nbi_only,77,0.2521529746583352,0.2233481387444066,0.020318510004155854,0.02880483591392857,5.9764771483826536e-05,0.0003585886289029592
NBI,bf2,mid_fusion_wide,nbi_only,77,0.2499907370215623,0.2233481387444066,0.019588738114299037,0.026642598277155777,0.0001414828509774438,0.0005659314039097752
NBI,bf2,mmd_fusion_w1e-4,nbi_only,77,0.2518363614444392,0.2233481387444066,0.018757579478150654,0.028488222700032623,0.00010157396700489457,0.0005078698350244728
NBI,bf2,mmd_fusion,nbi_only,77,0.2423213979449393,0.2233481387444066,0.016495014773879504,0.01897325920053274,0.00402258686112562,0.012067760583376861
NBI,bf2,mmd_fusion_w0.01,nbi_only,77,0.24072938776924227,0.2233481387444066,0.009605558991113039,0.01738124902483572,0.03576997747449135,0.0715399549489827
NBI,bf2,mmd_fusion_w1.0,nbi_only,77,0.23038433179067444,0.2233481387444066,0.00591814483761241,0.007036193046267885,0.47247273040363125,0.47247273040363125
NBI,bf3,ours,nbi_only,77,0.31374213311039634,0.273134751004436,0.03196692292453568,0.04060738210596038,2.885434048690382e-07,2.3083472389523056e-06
NBI,bf3,mmd_fusion_w1e-4,nbi_only,77,0.3068848894597968,0.273134751004436,0.02955307050056666,0.03375013845536079,3.700235535102851e-05,0.0002220141321061711
NBI,bf3,early_fusion_nbi,nbi_only,77,0.2370140583487469,0.273134751004436,-0.027209762503494203,-0.03612069265568903,7.2592462070409256e-06,5.081472344928648e-05
NBI,bf3,mmd_fusion,nbi_only,77,0.2939291696025866,0.273134751004436,0.0251679139366153,0.020794418598150708,0.0026262792056481626,0.007878837616944488
NBI,bf3,mid_fusion_wide,nbi_only,77,0.30328429544660934,0.273134751004436,0.024529729382746,0.03014954444217331,0.0001998195081034323,0.0007992780324137292
NBI,bf3,mid_fusion,nbi_only,77,0.3059364296577318,0.273134751004436,0.024373869749867633,0.032801678653295835,4.411058250138597e-05,0.0002220141321061711
NBI,bf3,mmd_fusion_w1.0,nbi_only,77,0.28404346142302983,0.273134751004436,0.012684506748513957,0.010908710418593821,0.3567579968922123,0.3567579968922123
NBI,bf3,mmd_fusion_w0.01,nbi_only,77,0.29282577042053853,0.273134751004436,0.009577186276592306,0.019691019416102552,0.024012194576143786,0.04802438915228757
NBI,bf5,ours,nbi_only,77,0.3935834993212334,0.3513503100644426,0.04172539419615201,0.04223318925679073,2.611880916450128e-06,2.0895047331601023e-05
NBI,bf5,early_fusion_nbi,nbi_only,77,0.3102443634771539,0.3513503100644426,-0.03997479736128662,-0.04110594658728866,8.571057362214354e-06,5.9997401535500476e-05
NBI,bf5,mid_fusion,nbi_only,77,0.38530023447655737,0.3513503100644426,0.03290153717248889,0.033949924412114814,0.00015355312417765342,0.0009213187450659205
NBI,bf5,mmd_fusion_w1e-4,nbi_only,77,0.383773623579301,0.3513503100644426,0.026284390687534603,0.0324233135148584,0.0002253321647613338,0.001126660823806669
NBI,bf5,mid_fusion_wide,nbi_only,77,0.38079551409592743,0.3513503100644426,0.02383898242488608,0.02944520403148489,0.0007273564674180258,0.002909425869672103
NBI,bf5,mmd_fusion,nbi_only,77,0.3699287716514509,0.3513503100644426,0.01965574382577162,0.018578461587008273,0.027730223833557985,0.08319067150067395
NBI,bf5,mmd_fusion_w0.01,nbi_only,77,0.3688172955822177,0.3513503100644426,0.019152482808943105,0.017466985517775105,0.04854161799118279,0.09708323598236558
NBI,bf5,mmd_fusion_w1.0,nbi_only,77,0.36375674269080743,0.3513503100644426,0.010713244611371575,0.012406432626364778,0.33595919732887747,0.33595919732887747
NBI,nsd3,ours,nbi_only,77,0.31284140254856385,0.27240563311999727,0.03128782463579394,0.0404357694285665,2.589765160970065e-07,2.071812128776052e-06
NBI,nsd3,mmd_fusion_w1e-4,nbi_only,77,0.3060781160818869,0.27240563311999727,0.028281211647162713,0.033672482961889585,3.3127283393095784e-05,0.0001987637003585747
NBI,nsd3,early_fusion_nbi,nbi_only,77,0.2362303989645771,0.27240563311999727,-0.026506652028185543,-0.036175234155420184,6.140750167828646e-06,4.2985251174800525e-05
